Etichette di riga;Media di count turtles;Dev. standard di count turtles2;Media di round storage;Dev. standard di round storage;Media di sum [max-psugar] of patches;Dev. standard di sum [max-psugar] of patches2
0;100;0;0;0;4622;0
1;100;0;0;0;4622;0
2;99,32;0,81501069;0;0;4622;0
3;97,55;1,36607526;0;0;4622;0
4;95,41;1,89147476;0;0;4622;0
5;93,11;2,117245208;0;0;4622;0
6;90,62;2,497594803;0;0;4622;0
7;88,56;2,847362771;0;0;4622;0
8;86,35;3,438859924;0;0;4622;0
9;84,84;3,469113356;0;0;4622;0
10;83,44;3,911443971;0;0;4622;0
11;82,19;4,157735883;0;0;4622;0
12;80,98;4,170555761;0;0;4622;0
13;80,14;4,209225078;0;0;4622;0
14;79,69;4,165017856;0;0;4622;0
15;79,02;4,282876405;0;0;4622;0
16;78,36;4,386664825;0;0;4622;0
17;77,76;4,442949243;0;0;4622;0
18;77,25;4,434426842;0;0;4622;0
19;76,83;4,501526116;0;0;4622;0
20;76,39;4,396727433;0;0;4622;0
21;75,99;4,377386795;0;0;4622;0
22;75,54;4,337806549;0;0;4622;0
23;75,06;4,282499034;0;0;4622;0
24;74,67;4,2069087;0;0;4622;0
25;74,26;4,196246519;0;0;4622;0
26;74,11;4,177609872;0;0;4622;0
27;73,95;4,110530945;0;0;4622;0
28;73,85;4,09822578;0;0;4622;0
29;73,67;4,131805681;0;0;4622;0
30;73,54;4,066169865;0;0;4622;0
31;73,41;4,04043952;0;0;4622;0
32;73,3;4,008828641;0;0;4622;0
33;73,14;3,987404411;0;0;4622;0
34;72,99;3,998724544;0;0;4622;0
35;72,83;3,979886299;0;0;4622;0
36;72,74;3,993985377;0;0;4622;0
37;72,62;4,024621194;0;0;4622;0
38;72,49;4,016368026;0;0;4622;0
39;72,41;3,962182339;0;0;4622;0
40;72,28;3,967239582;0;0;4622;0
41;76,4;5,045249791;0;0;4622;0
42;82,3;5,864634634;0;0;4622;0
43;88,19;6,720532386;0;0;4622;0
44;94,9;7,596517012;0;0;4622;0
45;101,54;8,09840987;0;0;4622;0
46;108,08;8,972100415;0;0;4622;0
47;114,77;9,32776349;0;0;4622;0
48;122,52;9,794329425;0;0;4622;0
49;130,6;10,16430673;0;0;4622;0
50;138,63;10,65876128;0;0;4622;0
51;146,49;11,22361778;0;0;4622;0
52;150,35;11,68818362;0;0;4622;0
53;151,45;11,97335004;0;0;4622;0
